"id","ad_title","date_activ","date_modif","date_expire","individual","price","flat_area","flat_rooms","flat_furnished","flat_rent","flat_deposit","flat_for_students","building_floor_num","flat_balcony","flat_utility_room","flat_garage","flat_basement","flat_garden","flat_tarrace","flat_lift","flat_two_level","flat_kitchen_sep","flat_air_cond","flat_nonsmokers","flat_washmachine","flat_dishwasher","flat_fridge","flat_cooker","flat_oven","flat_internet","flat_television","flat_anti_blinds","flat_monitoring","flat_closed_area","quarter"
2508,"Mieszkanie, 49 m², Poznań",2019-05-30,2019-05-30,2019-06-29,FALSE,1500,49,2,FALSE,0,0,FALSE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Rataje"
2557,"z Ogrodem i tarasem, w świetnej lokalzacji",2019-06-01,2019-06-01,2019-07-01,FALSE,2500,65,3,FALSE,0,0,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,"Rataje"
10616,"Mieszkanie, 30 m², Poznań",2020-04-17,2020-04-23,2020-05-17,FALSE,1250,30,1,,0,0,FALSE,4,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Piątkowo"
8889,"Nowy pokój w centrum 10m2",2020-02-06,2020-02-10,2020-03-07,FALSE,900,10,1,FALSE,0,0,FALSE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Wilda"
12721,"2 pokoje, balkon, miejsce postojowe, ul.Goethego",2020-06-22,2020-06-26,2020-07-22,FALSE,1750,47,2,FALSE,0,0,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Strzeszyn"
3042,"3pok, parter, w układzie niezależnym os. Przyjaźni",2019-06-18,2019-06-24,2019-07-18,FALSE,1500,48,3,TRUE,500,2200,TRUE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,"Winogrady"
1870,"2 pokojowe mieszkanie w kamienicy po rewitalizacji",2019-04-24,2020-05-20,2020-05-30,TRUE,1900,42,2,TRUE,390,1900,TRUE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,"Wilda"
9513,"Mieszkanie 3-pokojowe, super lokalizacja odnowione",2020-02-29,2020-03-11,2020-03-30,TRUE,2300,60,3,TRUE,598,2400,TRUE,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Rataje"
3432,"CENTRUM GARBARY Apartament winda 2 pokoje ładne",2019-07-03,2019-08-08,2019-09-04,FALSE,1900,55,2,TRUE,0,1900,FALSE,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Centrum"
13801,"Małeckiego 37 Łazarz kawalerka promo50% 0%Prowizji",2020-07-24,2020-07-31,2020-08-23,FALSE,1050,22,1,FALSE,0,0,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Łazarz"
13817,"Centrum - 4pokojowe mieszkanie od zaraz",2020-07-24,2020-07-24,2020-08-23,FALSE,2650,60.5,4,FALSE,700,0,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Centrum"
13583,"Bezpoś: Kawalerka + komórka lokatorska + piwnica",2020-07-17,2020-07-17,2020-08-16,TRUE,1150,27,1,TRUE,430,0,TRUE,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Winogrady"
11859,"Nowy pokój w centrum 10m2",2020-05-27,2020-08-25,2020-09-24,FALSE,900,-999,1,FALSE,0,0,FALSE,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Wilda"
4853,"Wynajmę mieszkanie/pokoje CENA DO NEGOCJACJI !!!",2019-08-26,2019-09-15,2019-09-25,TRUE,2900,71,3,TRUE,500,2900,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,"Komandoria"
6879,"Mieszkanie, 38 m², Poznań",2019-11-06,2019-11-06,2019-12-06,FALSE,1400,38,2,FALSE,380,0,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Grunwald"
10010,"Słoneczne, niezależne pokoje, umeblowane",2020-03-19,2020-06-23,2020-07-17,FALSE,1500,52,2,FALSE,500,0,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Raszyn"
